,importances_mean,importances_std
PRKCA-AS1,0.055583126550868465,0.028327959980931783
Stage_IA,0.042183622828784094,0.05575125228777615
GAGE6,0.011083540115798162,0.012452082227665058
KCNE3,0.010918114143920587,0.0019149440699405022
ERO1A,0.009760132340777484,0.0018421056618130934
MSTN,0.004631927212572329,0.0028460960354152647
PTRHD1,0.003970223325061995,0.014157216142487794
ELOVL7,0.002646815550041359,0.002052882323571665
IL18RAP,0.002646815550041337,0.0010973117585956326
PNPLA7,0.0018196856906534053,0.0017662660466552726
PAK3,0.0016542597187758634,0.0007398074367245031
Age,0.0016542597187758413,0.0011697382649901327
USP46-DT,0.0014888337468982771,0.0006189673096400292
RRAS2,0.0014888337468982771,0.0009645908841762375
S100B,0.0013234077750206464,0.0024868976639160945
IL18R1,0.001323407775020624,0.0039006868891816532
GNB2,0.000992555831265518,0.0006189673096400292
ZNF311,0.0008271298593879317,0.001169738264990164
BNIP1,0.0006617038875103454,0.0009645908841762375
ZNF696,0.0006617038875103454,0.0016038643035289908
ZNF430,0.0003308519437551727,0.0006617038875103454
MYG1,0.0,0.0
PITPNA,0.0,0.0
MED13L,0.0,0.0
MIR924HG,0.0,0.0
PTP4A1,0.0,0.0
PRRG4,0.0,0.0
NR2C2AP,0.0,0.0
MRPL19,0.0,0.0
Race_Asian,0.0,0.0
RLN1,0.0,0.0
Race_African American,0.0,0.0
LOC400627,0.0,0.0
Race_Caucasian,0.0,0.0
Race_Not Reported,0.0,0.0
Race_Unknown,0.0,0.0
Race_White,0.0,0.0
SPOP,0.0,0.0
SPSB3,0.0,0.0
STC1,0.0,0.0
Sex,0.0,0.0
Smoked?,0.0,0.0
TFDP3,0.0,0.0
U2AF1,0.0,0.0
LTB4R2,0.0,0.0
ARID2,0.0,0.0
Adjuvant Chemo,0.0,0.0
Histology_Adenosquamous Carcinoma,0.0,0.0
BRF1,0.0,0.0
CD40LG,0.0,0.0
COX6C,0.0,0.0
DEFB1,0.0,0.0
DPY19L2P4,0.0,0.0
GABRB2,0.0,0.0
GGACT,0.0,0.0
H2BC12,0.0,0.0
Histology_Adenocarcinoma,0.0,0.0
FUS,0.0,0.0
Histology_Squamous Cell Carcinoma,0.0,0.0
KCNK2,0.0,0.0
LINC02796,0.0,0.0
LINC00504,0.0,0.0
Histology_Large Cell Carcinoma,0.0,0.0
SLC35F5,-0.0003308519437551727,0.00040520922130408624
SPRR1B,-0.000496277915632759,0.001929181768352475
BMP1,-0.000496277915632759,0.0006617038875103454
LINC01252,-0.000496277915632759,0.00040520922130408624
KIF11,-0.000496277915632759,0.0011219735290529912
ZNF543,-0.0006617038875103675,0.0038936649448932546
QPCT,-0.0008271298593879317,0.0014796148734490062
DAAM2,-0.0008271298593879317,0.0005231228552801338
FCHSD1,-0.0008271298593879317,0.0013840529802052663
STEAP3,-0.0011579818031431043,0.000992555831265518
CALR,-0.0011579818031431266,0.007334921183588203
BRINP1,-0.0013234077750206908,0.0026980159520761365
FBXO39,-0.0014888337468982771,0.002052882323571708
GALR1,-0.0014888337468982771,0.0022439470581059827
LINC00330,-0.0016542597187758634,0.0005231228552801338
LINC03040,-0.0016542597187758634,0.0016542597187758634
GABRR3,-0.0018196856906534497,0.0009645908841762374
CDC42BPA,-0.001819685690653472,0.008425364154340344
EEF1B2,-0.002977667493796532,0.0036468829917367385
LOC101928526,-0.0031430934656741403,0.0013234077750206908
LINC01648,-0.0034739454094293134,0.021533353310534978
PRSS22,-0.0041356492969396585,0.0012813840682241368
TP53AIP1,-0.013730355665839555,0.0028460960354152877
TUNAR,-0.022497932175351565,0.01144192983675142
GJB4,-0.022828784119106715,0.007909368461791171
DPEP3,-0.03341604631927213,0.017052521296743277
