"PROBEID","SYMBOL","GENENAME"
"1007_s_at","DDR1","discoidin domain receptor tyrosine kinase 1"
"1053_at","RFC2","replication factor C subunit 2"
"117_at","HSPA6","heat shock protein family A (Hsp70) member 6"
"121_at","PAX8","paired box 8"
"1255_g_at","GUCA1A","guanylate cyclase activator 1A"
"1294_at","UBA7","ubiquitin like modifier activating enzyme 7"
"1316_at","THRA","thyroid hormone receptor alpha"
"1320_at","PTPN21","protein tyrosine phosphatase non-receptor type 21"
"1405_i_at","CCL5","C-C motif chemokine ligand 5"
"1431_at","CYP2E1","cytochrome P450 family 2 subfamily E member 1"
"1438_at","EPHB3","EPH receptor B3"
"1487_at","ESRRA","estrogen related receptor alpha"
"1494_f_at","CYP2A6","cytochrome P450 family 2 subfamily A member 6"
"1552256_a_at","SCARB1","scavenger receptor class B member 1"
"1552257_a_at","TTLL12","tubulin tyrosine ligase like 12"
"1552261_at","WFDC2","WAP four-disulfide core domain 2"
"1552263_at","MAPK1","mitogen-activated protein kinase 1"
"1552266_at","ADAM32","ADAM metallopeptidase domain 32"
"1552269_at","SPATA17","spermatogenesis associated 17"
"1552271_at","PRR22","proline rich 22"
"1552274_at","PXK","PX domain containing serine/threonine kinase like"
"1552276_a_at","VPS18","VPS18 core subunit of CORVET and HOPS complexes"
"1552277_a_at","MSANTD3","Myb/SANT DNA binding domain containing 3"
"1552278_a_at","SLC46A1","solute carrier family 46 member 1"
"1552280_at","TIMD4","T cell immunoglobulin and mucin domain containing 4"
"1552281_at","SLC39A5","solute carrier family 39 member 5"
"1552283_s_at","ZDHHC11","zinc finger DHHC-type containing 11"
"1552283_s_at","ZDHHC11B","zinc finger DHHC-type containing 11B"
"1552286_at","ATP6V1E2","ATPase H+ transporting V1 subunit E2"
"1552287_s_at","AFG3L1P","AFG3 like matrix AAA peptidase subunit 1, pseudogene"
"1552288_at","CILP2","cartilage intermediate layer protein 2"
"1552291_at","PIGX","phosphatidylinositol glycan anchor biosynthesis class X"
"1552293_at","TMEM196","transmembrane protein 196"
"1552295_a_at","SLC39A13","solute carrier family 39 member 13"
"1552296_at","BEST4","bestrophin 4"
"1552299_at","AK9","adenylate kinase 9"
"1552301_a_at","CORO6","coronin 6"
"1552302_at","TMEM106A","transmembrane protein 106A"
"1552304_at","ALG10","ALG10 alpha-1,2-glucosyltransferase"
"1552307_a_at","TTC39C","tetratricopeptide repeat domain 39C"
"1552309_a_at","NEXN","nexilin F-actin binding protein"
"1552310_at","C15orf40","chromosome 15 open reading frame 40"
"1552311_a_at","RAX2","retina and anterior neural fold homeobox 2"
"1552312_a_at","MFAP3","microfibril associated protein 3"
"1552314_a_at","EYA3","EYA transcriptional coactivator and phosphatase 3"
"1552315_at","GIMAP1","GTPase, IMAP family member 1"
"1552319_a_at","KLK8","kallikrein related peptidase 8"
"1552320_a_at","CCDC65","coiled-coil domain containing 65"
"1552322_at","PABIR3","PABIR family member 3"
"1552325_at","CFAP53","cilia and flagella associated protein 53"
"1552327_at","ARMCX4","armadillo repeat containing X-linked 4"
"1552329_at","RBBP6","RB binding protein 6, ubiquitin ligase"
"1552330_at","CENPBD1P","CENPB DNA-binding domain containing 1, pseudogene"
"1552332_at","TRIOBP","TRIO and F-actin binding protein"
"1552335_at","CATSPER1","cation channel sperm associated 1"
"1552337_s_at","HOXD4","homeobox D4"
"1552338_at","GSC","goosecoid homeobox"
"1552340_at","SP7","Sp7 transcription factor"
"1552343_s_at","PDE7A","phosphodiesterase 7A"
"1552344_s_at","CNOT7","CCR4-NOT transcription complex subunit 7"
"1552347_at","CRYZL1","crystallin zeta like 1"
"1552348_at","PRSS33","serine protease 33"
"1552354_at","CBARP","CACN subunit beta associated regulatory protein"
"1552359_at","MCMDC2","minichromosome maintenance domain containing 2"
"1552360_a_at","TIRAP","TIR domain containing adaptor protein"
"1552362_a_at","LEAP2","liver enriched antimicrobial peptide 2"
"1552364_s_at","MSI2","musashi RNA binding protein 2"
"1552365_at","SCIN","scinderin"
"1552368_at","CTCFL","CCCTC-binding factor like"
"1552370_at","C4orf33","chromosome 4 open reading frame 33"
"1552375_at","ZNF333","zinc finger protein 333"
"1552377_s_at","TVP23C","trans-golgi network vesicle protein 23 homolog C"
"1552378_s_at","RDH10","retinol dehydrogenase 10"
"1552381_at","SRSF12","serine and arginine rich splicing factor 12"
"1552383_at","GARIN4","golgi associated RAB2 interactor family member 4"
